step,model,assigned_layer,server_id,datarate,sinr,ping_ms,speed,rsrp_dbm,rssi_dbm,jitter,cpu_demand,memory_demand,latency_ms,processing_latency_ms,base_latency_ms,distance,energy_consumption,cost,degraded
83,gradient_boosting,Cloud,7,4380000.0,9.873936787728006,3707.369484043216,2.0553151743974505,-120.03479011746414,-86.28767988823118,0.002245973554975822,4,205,201.3668562473034,0.02,201.34685624730338,151.34685624730338,16.639999999999997,0.001388888888888889,False
84,gradient_boosting,Cloud,7,4250000.0,9.59382342551954,3574.1434007895787,2.3540962035204536,-118.76085681240582,-84.88304134843125,0.006231599060583779,4,235,201.74903054987573,0.02,201.72903054987572,151.72903054987572,16.68,0.001388888888888889,False
85,gradient_boosting,Cloud,7,4900000.0,9.984404763204598,4424.560779120226,2.5793670815388507,-118.85356845324402,-84.77070841812787,0.0017765781019569713,4,257,201.35094633607602,0.02,201.330946336076,151.330946336076,16.72,0.001388888888888889,False
86,gradient_boosting,Cloud,7,5520000.0,10.454734796357378,3382.3788637426733,2.3104752901704657,-118.55656740906912,-85.5484441556365,0.003653059372146103,5,231,203.84980741817003,0.025,203.82480741817002,153.82480741817002,16.76,0.001388888888888889,False
87,gradient_boosting,Cloud,7,6320000.0,9.203478385247603,6945.047803564481,2.290219231077067,-118.23726119311827,-86.67651951421294,0.002739494554615118,6,229,201.05685172327063,0.030000000000000002,201.02685172327062,151.02685172327062,16.81,0.001388888888888889,False
88,gradient_boosting,Cloud,7,4940000.0,9.179698061218131,76.14669155079173,2.9068145029363888,-119.58885542508196,-86.06683958726437,0.005073092315387792,4,290,202.3961594378022,0.02,202.3761594378022,152.3761594378022,16.87,0.001388888888888889,False
89,gradient_boosting,Cloud,7,6130000.0,9.605269587108419,6034.5057964170555,3.0572457161060553,-121.7532163967855,-84.68140932435313,0.0028709485913763723,6,305,203.26715497134174,0.030000000000000002,203.23715497134174,153.23715497134174,16.91,0.001388888888888889,False
90,gradient_boosting,Cloud,7,7500000.0,9.634682992156804,3005.481423808175,2.9358135841861124,-119.20839784824567,-85.99761597773849,0.0030900514459519853,7,293,201.45189855470926,0.034999999999999996,201.41689855470926,151.41689855470926,16.97,0.001388888888888889,False
91,gradient_boosting,Cloud,7,6870000.0,10.511671021523291,7640.8105249786895,2.658280305593972,-120.01607138142258,-85.69903356611329,0.002238909791316281,6,265,202.25134729219718,0.030000000000000002,202.22134729219718,152.22134729219718,17.04,0.001388888888888889,False
92,gradient_boosting,Cloud,7,6770000.0,10.427483408258896,3009.327158954661,2.644076477183999,-120.7756728166867,-85.57968388455002,0.0020714706025751223,6,264,202.66423152515029,0.030000000000000002,202.63423152515028,152.63423152515028,17.1,0.001388888888888889,False
93,gradient_boosting,Fog,5,6370000.0,10.223172667700476,3552.6863467302887,3.063835884035997,-120.10031791210041,-86.3039697828586,0.0018238157505901249,6,306,55.72101059049336,0.09375,55.62726059049336,81.25452118098671,0.0,0.0002777777777777778,False
94,gradient_boosting,Cloud,7,7200000.0,10.018431740479949,162.92260114287433,2.637415498577202,-120.94566289357348,-86.85298135736899,0.002077698554648553,7,263,202.20877596993563,0.034999999999999996,202.17377596993563,152.17377596993563,17.16,0.001388888888888889,False
95,gradient_boosting,Cloud,7,7230000.0,10.20953901882973,133.01659149945408,2.762144908698523,-120.5058365341187,-85.81943748411909,0.0024632986755940478,7,276,202.40950843411053,0.034999999999999996,202.37450843411054,152.37450843411054,17.23,0.001388888888888889,False
96,gradient_boosting,Cloud,7,6880000.0,8.092037052814378,5100.560976160444,2.8790247518228878,-117.86384335797618,-86.12830244541978,0.002245370122720142,6,287,200.45154272228442,0.030000000000000002,200.4215427222844,150.4215427222844,17.3,0.001388888888888889,False
97,gradient_boosting,Cloud,7,6500000.0,9.19791720424887,676.71751395655,3.326890104000478,-118.18946667197105,-85.59463960548338,0.0024567140768699766,6,332,203.18132051894167,0.030000000000000002,203.15132051894167,153.15132051894167,17.36,0.001388888888888889,False
98,gradient_boosting,Cloud,7,6090000.0,10.802636705194992,978.2207736711848,3.023030256386242,-118.6380971764413,-85.59435780642289,0.002744771258590921,6,302,201.81961115217385,0.030000000000000002,201.78961115217385,151.78961115217385,17.42,0.001388888888888889,False
99,gradient_boosting,Cloud,7,7180000.0,8.912793844899445,5978.968525211364,3.312475470226051,-120.33399321657767,-85.69539240128451,0.0035908833231739624,7,331,201.9185921018358,0.034999999999999996,201.8835921018358,151.8835921018358,17.48,0.001388888888888889,False
100,gradient_boosting,Edge,2,6750000.0,9.01681346499223,-1672.3379006574387,2.9458672179492007,-119.47431265256074,-85.59410900150458,0.0008953112106046794,6,294,7.875152159434796,0.375,7.500152159434796,25.001521594347963,0.0,0.0001388888888888889,False
101,gradient_boosting,Cloud,7,6430000.0,9.27732754569106,3666.585456720528,3.379270970554166,-117.79461762985463,-85.33202534847567,0.0019557961545001957,6,337,202.1305631063404,0.030000000000000002,202.1005631063404,152.1005631063404,17.55,0.001388888888888889,False
102,gradient_boosting,Edge,2,6950000.0,10.13179420312814,-632.3050134274843,3.2192448904087003,-119.18665245420308,-85.42444584422425,0.002272010064727244,6,321,7.916915522244169,0.375,7.541915522244169,25.419155222441685,0.075,0.0001388888888888889,False
103,gradient_boosting,Edge,3,7610000.0,8.804297298485075,-1242.553619844487,3.2632121597312933,-119.49269921797902,-86.25907058391059,0.0032494426560934404,7,326,7.455393739133608,0.4375,7.017893739133608,20.178937391336074,0.0,0.0001388888888888889,False
104,gradient_boosting,Edge,3,8029999.999999999,9.329071983813087,-1873.9598094597782,3.657610937570828,-119.19842188092852,-86.37512918239,0.0017873612781908708,8,365,7.937930821613923,0.5,7.437930821613923,24.37930821613923,0.08750000000000001,0.0001388888888888889,False
105,gradient_boosting,Edge,4,8029999.999999999,9.325472604471967,-571.989685113307,3.7596296335747423,-119.72388026460621,-86.15324189362357,0.0010645796687562803,8,375,8.011496926332969,0.5,7.511496926332969,25.11496926332969,0.0,0.0001388888888888889,False
